tide freq ampl ampl_error pha pha_error snr
*SA 0.0001141 0.1042 0.015 308.45 9 47
*SSA 0.0002282 0.0311 0.014 156.39 28.09 4.9
MSM 0.0013098 0.0048 0.01 156.44 152.57 0.22
MM 0.0015122 0.0088 0.013 314.11 87.94 0.49
MSF 0.0028219 0.0038 0.01 146.67 184.87 0.13
MF 0.0030501 0.0081 0.014 44.49 103.89 0.33
ALP1 0.0343966 0.0008 0.001 67.3 114.55 0.4
*2Q1 0.0357064 0.0031 0.002 153.93 32.64 3
*SIG1 0.0359087 0.0028 0.002 64.34 29.01 3
*Q1 0.0372185 0.0235 0.002 136.6 3.99 1.90E+02
*RHO1 0.0374209 0.0043 0.002 52.37 21.74 7.8
*O1 0.0387307 0.1188 0.002 117.57 0.79 5.30E+03
TAU1 0.0389588 0.002 0.002 124.71 54.97 1.5
BET1 0.0400404 0.0009 0.001 68.44 96.58 0.54
*NO1 0.0402686 0.008 0.002 324.59 10.24 17
CHI1 0.040471 0.0019 0.002 227.08 47.51 1.1
*PI1 0.0414385 0.0048 0.002 131.58 20.24 8.1
*P1 0.0415526 0.0491 0.002 175.75 2.19 1.00E+03
*S1 0.0416667 0.0099 0.002 151.39 9.27 38
*K1 0.0417807 0.1614 0.002 295.98 0.62 1.10E+04
PSI1 0.0418948 0.0011 0.002 142.53 98.49 0.48
*PHI1 0.0420089 0.0027 0.001 210.01 33.85 3.8
THE1 0.0430905 0.0015 0.001 3.35 67.06 1.2
*J1 0.0432929 0.0099 0.002 282.59 9.69 29
*SO1 0.0446027 0.0028 0.002 359.69 31.18 3.3
*OO1 0.0448308 0.0043 0.001 298.53 21.87 8.8
UPS1 0.046343 0.0005 0.001 309.42 165.79 0.18
OQ2 0.0759749 0.0009 0.001 234.81 42.24 1.8
*EPS2 0.0761773 0.0029 0.001 161.12 12.7 22
*2N2 0.0774871 0.0077 0.001 219.08 5.32 1.40E+02
*MU2 0.0776895 0.0099 0.001 157.4 3.77 2.20E+02
*N2 0.0789992 0.0486 0.001 220.46 0.82 5.10E+03
*NU2 0.0792016 0.0095 0.001 132.53 3.71 1.50E+02
*GAM2 0.080309 0.0023 0.001 69.21 17.88 14
*H1 0.0803973 0.0132 0.001 296.97 3.2 3.40E+02
*M2 0.0805114 0.1526 0.001 199.96 0.27 5.10E+04
*H2 0.0806255 0.0053 0.001 206.14 7.09 50
*MKS2 0.0807396 0.0026 0.001 61.31 15.86 14
*LDA2 0.0818212 0.0021 0.001 73.78 19.52 12
*L2 0.0820236 0.0092 0.001 306.23 4.31 1.60E+02
*T2 0.0832193 0.0118 0.001 125.99 3.2 2.80E+02
*S2 0.0833333 0.1654 0.001 225.32 0.24 5.50E+04
*R2 0.0834474 0.0022 0.001 27.63 17.94 12
*K2 0.0835615 0.0481 0.001 170.75 0.86 4.20E+03
MSN2 0.0848455 0.0006 0.001 88.88 62.82 0.75
*ETA2 0.0850736 0.0037 0.001 190.75 11.74 33
*MO3 0.1192421 0.001 0.001 126.51 33.6 3.8
*M3 0.1207671 0.0029 0.001 137.42 10.32 28
SO3 0.122064 0.0006 0.001 112.72 60.12 0.92
MK3 0.1222921 0.0002 0 39.78 137.3 0.15
SK3 0.1251141 0.0008 0.001 266.78 41.87 1.9
MN4 0.1595106 0.0003 0 343.2 59.21 0.69
*M4 0.1610228 0.002 0 42.17 12.84 29
SN4 0.1623326 0.0002 0 171.61 114.57 0.56
*MS4 0.1638447 0.0013 0 186.58 15.22 10
MK4 0.1640729 0.0001 0 240.18 141.79 0.24
*S4 0.1666667 0.001 0 321.53 22.15 6
*SK4 0.1668948 0.0007 0 321.24 32.3 3.3
2MK5 0.2028035 0 0 28.41 240.84 0.031
2SK5 0.2084474 0.0004 0 134.9 52.27 1.4
2MN6 0.2400221 0.0004 0.001 209.33 108.01 0.31
M6 0.2415342 0.0008 0.001 196.55 62.49 1
*2MS6 0.2443561 0.0014 0.001 307.56 33.32 3.5
2MK6 0.2445843 0.0005 0.001 253.27 88.37 0.74
2SM6 0.2471781 0.0003 0.001 75.33 152.21 0.18
MSK6 0.2474062 0.0001 0.001 227.47 231.41 0.014
3MK7 0.2833149 0.0001 0 138.34 204.41 0.024
M8 0.3220456 0.0001 0 33.41 114.39 0.34
